"polarityid";"tweetid";"entity";"type";"value"
"26517";"148047073562984448";;"AGREEMENT";"NONE"
"26518";"148077396485083137";;"AGREEMENT";"NONE"
"26519";"148088655435665408";;"AGREEMENT";"P"
"26520";"148088655435665408";"Sevilla";"AGREEMENT";"P"
"26521";"148088655435665408";"Neymar";"AGREEMENT";"P+"
"26522";"148102961300635649";;"AGREEMENT";"NONE"
"26523";"148106810044317697";;"AGREEMENT";"N"
"26524";"148106994694369280";;"AGREEMENT";"P+"
"26525";"148106994694369280";"@LeticiaIG";"AGREEMENT";"P+"
"26526";"148112624062693376";;"AGREEMENT";"NONE"
"26527";"148114043876556800";;"AGREEMENT";"NONE"
"26528";"148123568935403521";;"AGREEMENT";"P+"
"26529";"148123568935403521";"Minerva_Mateos";"AGREEMENT";"P+"
"26530";"148125671657451520";;"AGREEMENT";"P+"
"26531";"148125671657451520";"PSC";"AGREEMENT";"P+"
"26532";"148125671657451520";"C._Chacón";"AGREEMENT";"P+"
"26533";"148126999804772353";;"AGREEMENT";"P+"
"26534";"148126999804772353";"Javier_Pradera";"AGREEMENT";"P+"
"26535";"148130777345949697";;"AGREEMENT";"P+"
"26536";"148135403612934144";;"AGREEMENT";"P+"
"26537";"148135403612934144";"El_Chojín";"AGREEMENT";"P+"
"26538";"148140442041597952";;"AGREEMENT";"N+"
"26539";"148140442041597952";"Irak";"AGREEMENT";"N+"
"26540";"148140442041597952";"US";"AGREEMENT";"N+"
"26541";"148148526214422529";;"AGREEMENT";"P+"
"26542";"148148526214422529";"Pages";"AGREEMENT";"P+"
"26543";"148148526214422529";"I_Cloud";"AGREEMENT";"P+"
"26544";"148149066369466369";;"AGREEMENT";"P"
"26545";"148149066369466369";"Di_Maria";"AGREEMENT";"P+"
"26546";"148149066369466369";"Cristiano";"AGREEMENT";"P+"
"26547";"148155950921031680";;"DISAGREEMENT";"NEU"
"26548";"148155950921031680";"Callejón";"AGREEMENT";"P"
"26549";"148155950921031680";"Madrid";"AGREEMENT";"N"
"26550";"148162568203141120";;"AGREEMENT";"P+"
"26551";"148162568203141120";"@martajcs";"AGREEMENT";"P+"
"26552";"148162568203141120";"@epicuro7";"AGREEMENT";"P+"
"26553";"148162568203141120";"Sevilla";"AGREEMENT";"NEU"
"26554";"148162568203141120";"Casillas";"AGREEMENT";"P+"
"26555";"148162568203141120";"CR";"AGREEMENT";"P+"
"26556";"148167731009683456";;"AGREEMENT";"P"
"26557";"148167731009683456";"Di_Maria";"AGREEMENT";"P+"
"26558";"148167731009683456";"Madrid";"DISAGREEMENT";"P"
"26559";"148168448441196544";;"AGREEMENT";"N+"
"26560";"148168448441196544";"Rajoy";"AGREEMENT";"N+"
"26561";"148171690554298368";;"AGREEMENT";"P"
"26562";"148175245948358656";;"AGREEMENT";"NONE"
"26563";"148175810992422912";;"DISAGREEMENT";"NONE"
"26564";"148180265074835456";;"AGREEMENT";"P+"
"26565";"148180265074835456";"Cantabria";"AGREEMENT";"P+"
"26566";"148207900433719296";;"AGREEMENT";"P+"
"26567";"148224832528592896";;"AGREEMENT";"P+"
"26568";"148304456805662720";;"AGREEMENT";"P+"
"26569";"148304456805662720";"Judith";"AGREEMENT";"P+"
"26570";"148320706847965184";;"AGREEMENT";"NONE"
"26571";"148320816797454336";;"AGREEMENT";"NONE"
"26572";"148320873164713984";;"AGREEMENT";"N"
"26573";"148322051009159168";;"AGREEMENT";"NONE"
"26574";"148323426535354369";;"AGREEMENT";"N"
"26575";"148339935609487361";;"AGREEMENT";"NONE"
"26576";"148345424879693824";;"AGREEMENT";"P"
"26577";"148345424879693824";"Iberia";"AGREEMENT";"N"
"26578";"148347389244219392";;"AGREEMENT";"P+"
"26579";"148359330452877312";;"AGREEMENT";"NONE"
"26580";"148363324839559169";;"DISAGREEMENT";"NEU"
"26581";"148370021561802752";;"AGREEMENT";"P+"
"26582";"148374039491121152";;"AGREEMENT";"P+"
"26583";"148374039491121152";"PSOE";"AGREEMENT";"P+"
"26584";"148374039491121152";"Comité_Regional_del_PSM";"AGREEMENT";"P+"
"26585";"148378646413975552";;"AGREEMENT";"P+"
"26586";"148380334977843200";;"AGREEMENT";"NONE"
"26587";"148391995541438464";;"DISAGREEMENT";"N"
"26588";"148391995541438464";"Václav_Havel";"DISAGREEMENT";"NEU"
"26589";"148396345789648897";;"AGREEMENT";"P+"
"26590";"148404722229977089";;"AGREEMENT";"NONE"
"26591";"148405678250278912";;"DISAGREEMENT";"N"
"26592";"148405678250278912";"Vaclav_Havel";"DISAGREEMENT";"NEU"
"26593";"148406016810299392";;"AGREEMENT";"NONE"
"26594";"148408281562497025";;"AGREEMENT";"NONE"
"26595";"148428803457294337";;"AGREEMENT";"N"
"26596";"148436908391931904";;"AGREEMENT";"NONE"
"26597";"148438057018863616";;"AGREEMENT";"P"
"26598";"148438057018863616";"Vaclav_Havel";"AGREEMENT";"P"
"26599";"148445811246764032";;"AGREEMENT";"N+"
"26600";"148445811246764032";"Rajoy";"AGREEMENT";"N"
"26601";"148451061726851072";;"AGREEMENT";"N+"
"26602";"148452596066164736";;"AGREEMENT";"N"
"26603";"148454312119500800";;"AGREEMENT";"P"
"26604";"148454312119500800";"Carmen";"AGREEMENT";"P"
"26605";"148460546331656192";;"AGREEMENT";"P+"
"26606";"148460546331656192";"@LARAZON";"AGREEMENT";"P+"
"26607";"148460546331656192";"Havel";"AGREEMENT";"P+"
"26608";"148473765699923968";;"AGREEMENT";"NONE"
"26609";"148475890643374080";;"AGREEMENT";"P"
"26610";"148475890643374080";"@anapalacio";"AGREEMENT";"P"
"26611";"148482067452264448";;"AGREEMENT";"P+"
"26612";"148482067452264448";"Griñán";"AGREEMENT";"P+"
"26613";"148483335935631360";;"AGREEMENT";"P"
"26614";"148483335935631360";"Patronato_de_Turismo";"AGREEMENT";"P"
"26615";"148483712701566977";;"AGREEMENT";"N+"
"26616";"148483712701566977";"@psoe";"AGREEMENT";"N+"
"26617";"148484140352802816";;"AGREEMENT";"NONE"
"26618";"148491068625788928";;"DISAGREEMENT";"P"
"26619";"148493455801331712";;"DISAGREEMENT";"N"
"26620";"148493455801331712";"@buenafuente";"AGREEMENT";"N"
"26621";"148505366458671105";;"AGREEMENT";"N"
"26622";"148509321297264641";;"AGREEMENT";"P+"
"26624";"148512614782222336";"@lavivaestampa";"AGREEMENT";"P+"
"26625";"148512614782222336";"Buenafuente";"AGREEMENT";"P+"
"26623";"148512614782222336";;"AGREEMENT";"P+"
"26626";"148518573332103168";;"AGREEMENT";"P+"
"26627";"148518573332103168";"@David_Busta";"AGREEMENT";"P+"
"26628";"148518573332103168";"@isaabeel5";"AGREEMENT";"P+"
"26629";"148524839953641475";;"AGREEMENT";"N"
"26630";"148526829207162880";;"AGREEMENT";"P+"
"26631";"148526829207162880";"ElPrimerNaufragio";"AGREEMENT";"P+"
"26632";"148526829207162880";"@pilareyre";"AGREEMENT";"P+"
"26633";"148534555610054656";;"AGREEMENT";"N+"
"26634";"148534555610054656";"Banyoles";"AGREEMENT";"N+"
"26635";"148537291466473474";;"AGREEMENT";"P"
"26636";"148537291466473474";"MEXICO";"AGREEMENT";"P"
"26637";"148538409563062272";;"AGREEMENT";"P"
"26638";"148538409563062272";"La_Voz_México";"AGREEMENT";"P"
"26639";"148547089243189249";;"AGREEMENT";"P+"
"26640";"148547089243189249";"El_Digital";"AGREEMENT";"P+"
"26641";"148564633911963650";;"AGREEMENT";"P+"
"26642";"148604638751494147";;"AGREEMENT";"P"
"26643";"148638094499909632";;"AGREEMENT";"P"
"26644";"148638094499909632";"Rajoy";"AGREEMENT";"P"
"26645";"148647330751582208";;"AGREEMENT";"P"
"26646";"148650549208825857";;"AGREEMENT";"NONE"
"26647";"148665218686398464";;"AGREEMENT";"NONE"
"26648";"148670569297092608";;"AGREEMENT";"NONE"
"26649";"148673844402601984";;"AGREEMENT";"P+"
"26650";"148673844402601984";"@germanyanke";"AGREEMENT";"P+"
"26651";"148678469969129472";;"AGREEMENT";"N+"
"26652";"148681086120099840";;"AGREEMENT";"NONE"
"26653";"148681249232388096";;"AGREEMENT";"P"
"26654";"148681249232388096";"Quico_Catalán";"AGREEMENT";"P"
"26655";"148681249232388096";"Levante";"AGREEMENT";"P"
"26656";"148685081358241793";;"DISAGREEMENT";"NEU"
"26657";"148685081358241793";"Amaiur";"AGREEMENT";"N"
"26658";"148690771086811137";;"AGREEMENT";"N+"
"26659";"148703764310802432";;"AGREEMENT";"N+"
"26660";"148703764310802432";"Kim_Jong_Il";"AGREEMENT";"N+"
"26661";"148703764310802432";"Corea";"AGREEMENT";"N+"
"26662";"148706401802391553";;"DISAGREEMENT";"N+"
"26663";"148706401802391553";"Urdangarin";"AGREEMENT";"P+"
"26664";"148706855860973568";;"AGREEMENT";"NONE"
"26665";"148707985789685760";;"AGREEMENT";"N"
"26666";"148707985789685760";"Patxi_López";"AGREEMENT";"N"
"26667";"148707985789685760";"amaiur";"AGREEMENT";"N"
"26668";"148710653291532288";;"AGREEMENT";"N"
"26669";"148710653291532288";"La_Mesa_del_Congreso";"AGREEMENT";"N"
"26670";"148710653291532288";"Amaiur";"AGREEMENT";"N"
"26671";"148711162765262848";;"AGREEMENT";"N"
"26672";"148711162765262848";"CIE";"AGREEMENT";"N"
"26673";"148712279809081345";;"AGREEMENT";"P"
"26674";"148712279809081345";"UE";"AGREEMENT";"P"
"26675";"148712279809081345";"@marianorajoy";"AGREEMENT";"P"
"26676";"148713459826180096";;"AGREEMENT";"P+"
"26677";"148713459826180096";"Elvira_Rodriguez";"AGREEMENT";"P+"
"26678";"148713459826180096";"Gallardón";"AGREEMENT";"P+"
"26679";"148714557106438144";;"AGREEMENT";"P"
"26680";"148717096698777601";;"AGREEMENT";"P+"
"26681";"148717096698777601";"@CarmeChaparro";"AGREEMENT";"P+"
"26682";"148717711797653504";;"AGREEMENT";"NONE"
"26683";"148718138870083584";;"AGREEMENT";"NONE"
"26684";"148719740884496386";;"AGREEMENT";"P"
"26685";"148719740884496386";"Rajoy";"AGREEMENT";"P"
"26686";"148720508823805952";;"DISAGREEMENT";"N"
"26687";"148720508823805952";"Sabino_Cuadra";"AGREEMENT";"N"
"26688";"148720508823805952";"Navarra";"AGREEMENT";"NEU"
"26689";"148720687635378176";;"AGREEMENT";"N"
"26690";"148720687635378176";"Amaiur";"AGREEMENT";"N"
"26691";"148720687635378176";"Sabino";"AGREEMENT";"N"
"26692";"148720687635378176";"Cuadra";"AGREEMENT";"N"
"26693";"148721786387832834";;"AGREEMENT";"P+"
"26694";"148721786387832834";"@MarianoRajoy";"AGREEMENT";"P+"
"26695";"148722415478906880";;"AGREEMENT";"NEU"
"26696";"148722415478906880";"España";"AGREEMENT";"NEU"
"26697";"148723118872084480";;"AGREEMENT";"P+"
"26698";"148723118872084480";"Rajoy";"AGREEMENT";"P+"
"26699";"148723747375951873";;"AGREEMENT";"NONE"
"26700";"148725208080060416";;"AGREEMENT";"N+"
"26701";"148725812189855744";;"AGREEMENT";"P+"
"26702";"148726251593547776";;"AGREEMENT";"P+"
"26703";"148726300838858752";;"AGREEMENT";"P+"
"26704";"148727207966154752";;"AGREEMENT";"NONE"
"26705";"148727451055423488";;"AGREEMENT";"P"
"26706";"148728037578506240";;"AGREEMENT";"NEU"
"26707";"148728037578506240";"Rajoy";"AGREEMENT";"NEU"
"26708";"148728150480785408";;"AGREEMENT";"N"
"26709";"148728150480785408";"Rajoy";"AGREEMENT";"N"
"26710";"148728680183644161";;"AGREEMENT";"P"
"26711";"148728680183644161";"Rajoy";"AGREEMENT";"P"
"26712";"148729106433966080";;"AGREEMENT";"N"
"26713";"148729834066030593";;"AGREEMENT";"N+"
"26714";"148729834066030593";"Rajoy";"AGREEMENT";"N+"
"26715";"148731541298745344";;"AGREEMENT";"NEU"
"26716";"148731541298745344";"@MarianoRajoy";"AGREEMENT";"NEU"
"26717";"148731747855638528";;"AGREEMENT";"NONE"
"26718";"148731791505764352";;"AGREEMENT";"NONE"
"26719";"148731924951728130";;"AGREEMENT";"NONE"
"26720";"148732225112907778";;"AGREEMENT";"P"
"26721";"148732225112907778";"Rajoy";"AGREEMENT";"P"
"26722";"148732236408176640";;"AGREEMENT";"P+"
"26723";"148732236408176640";"#Rajoy";"AGREEMENT";"P+"
"26725";"148732338237480960";;"AGREEMENT";"P+"
"26726";"148732338237480960";"Segouridad_Social";"AGREEMENT";"P+"
"26724";"148732340254949376";;"AGREEMENT";"P"
"26727";"148732829478559746";;"AGREEMENT";"NONE"
"26728";"148733240423878656";;"AGREEMENT";"NONE"
"26729";"148733342785863681";;"AGREEMENT";"NONE"
"26730";"148733694226612224";;"AGREEMENT";"NONE"
"26731";"148733840171614208";;"DISAGREEMENT";"P"
"26732";"148733840171614208";"Rajoy";"AGREEMENT";"P"
"26733";"148733909742530560";;"AGREEMENT";"N"
"26734";"148733909742530560";"España";"AGREEMENT";"N"
"26735";"148734844468334592";;"AGREEMENT";"NONE"
"26736";"148734983853449216";;"AGREEMENT";"P+"
"26737";"148736376622419968";;"AGREEMENT";"N"
"26738";"148736376622419968";"Rajoy";"AGREEMENT";"N"
"26739";"148737038257102848";;"AGREEMENT";"NONE"
"26740";"148737677359972352";;"AGREEMENT";"NONE"
"26741";"148737856347713537";;"AGREEMENT";"P"
"26742";"148737856347713537";"Rajoy";"AGREEMENT";"P"
"26743";"148738309965889536";;"AGREEMENT";"N"
"26744";"148738309965889536";"Durban";"AGREEMENT";"N"
"26745";"148738767027576834";;"AGREEMENT";"P"
"26746";"148738767027576834";"Rajoy";"AGREEMENT";"P"
"26747";"148738846589329408";;"AGREEMENT";"N"
"26748";"148738846589329408";"Rajoy";"AGREEMENT";"N"
"26749";"148739730606010368";;"AGREEMENT";"P+"
"26750";"148739775032070144";;"AGREEMENT";"N"
"26751";"148739775032070144";"@MarianoRajoy";"AGREEMENT";"N"
"26752";"148739812684345344";;"AGREEMENT";"N"
"26753";"148740320337723392";;"AGREEMENT";"N"
"26754";"148740320337723392";"Rajoy";"AGREEMENT";"N"
"26755";"148741176835584000";;"AGREEMENT";"N+"
"26756";"148742897104191488";;"AGREEMENT";"N"
"26757";"148746169584070657";;"AGREEMENT";"NONE"
"26758";"148746775262539776";;"DISAGREEMENT";"N"
"26759";"148748701639262208";;"DISAGREEMENT";"NEU"
"26760";"148755188193312768";;"AGREEMENT";"NONE"
"26761";"148755452627386369";;"AGREEMENT";"P"
"26762";"148755452627386369";"Rajoy";"AGREEMENT";"P"
"26763";"148758167415832576";;"AGREEMENT";"N+"
"26764";"148758167415832576";"Rajoy";"AGREEMENT";"N+"
"26765";"148759434569596928";;"AGREEMENT";"P"
"26766";"148759434569596928";"Rajoy";"AGREEMENT";"P"
"26767";"148760238533783552";;"AGREEMENT";"P"
"26768";"148760238533783552";"M._de_Agricultura";"AGREEMENT";"P"
"26769";"148761384988065792";;"AGREEMENT";"NONE"
"26770";"148761908323958784";;"AGREEMENT";"N+"
"26771";"148761908323958784";"Rajoy";"AGREEMENT";"N+"
"26772";"148762417634082817";;"AGREEMENT";"N+"
"26773";"148762417634082817";"España";"AGREEMENT";"N+"
"26774";"148764030553702401";;"AGREEMENT";"P"
"26775";"148764030553702401";"La_Pepa";"AGREEMENT";"P"
"26776";"148771443516248064";;"AGREEMENT";"NONE"
"26777";"148781777228541953";;"AGREEMENT";"P"
"26778";"148781777228541953";"Rubalcaba";"AGREEMENT";"P"
"26779";"148781777228541953";"PP";"AGREEMENT";"P"
"26780";"148784230531473410";;"AGREEMENT";"N"
"26781";"148784230531473410";"Rajoy";"AGREEMENT";"N"
"26782";"148784944452345857";;"AGREEMENT";"N"
"26783";"148784944452345857";"Rubalcaba";"AGREEMENT";"N"
"26784";"148785691143307264";;"DISAGREEMENT";"NEU"
"26785";"148785691143307264";"Rubalcaba";"AGREEMENT";"P"
"26786";"148786188185108480";;"AGREEMENT";"P+"
"26787";"148786188185108480";"Rajoy";"AGREEMENT";"P+"
"26788";"148786188185108480";"Rubalcaba";"AGREEMENT";"P+"
"26789";"148786188185108480";"Europa";"AGREEMENT";"P+"
"26790";"148787390872436736";;"AGREEMENT";"P+"
"26791";"148789966686785537";;"AGREEMENT";"P+"
"26792";"148789966686785537";"Rubalcaba";"AGREEMENT";"P+"
"26793";"148790266193653762";;"AGREEMENT";"P"
"26794";"148790266193653762";"Rubalcaba";"AGREEMENT";"P"
"26795";"148790336364363776";;"AGREEMENT";"N"
"26796";"148790336364363776";"Rajoy";"AGREEMENT";"N+"
"26797";"148790336364363776";"Rubalcaba";"AGREEMENT";"N"
"26798";"148792002438369280";;"DISAGREEMENT";"N"
"26799";"148792002438369280";"Rubalc";"AGREEMENT";"P"
"26800";"148792002438369280";"Rajoy";"AGREEMENT";"N"
"26801";"148794069240385537";;"DISAGREEMENT";"N"
"26802";"148794069240385537";"Rajoy";"DISAGREEMENT";"NEU"
"26803";"148794069240385537";"FROB";"AGREEMENT";"N"
"26804";"148794999847399424";;"AGREEMENT";"N"
"26805";"148794999847399424";"Rajoy";"AGREEMENT";"N"
"26806";"148796059202760704";;"AGREEMENT";"N"
"26807";"148796059202760704";"Rajoy";"AGREEMENT";"N"
"26808";"148796059202760704";"Alfonso_Alonso";"AGREEMENT";"N"
"26809";"148796732401131520";;"DISAGREEMENT";"NEU"
"26810";"148796732401131520";"Rajoy";"AGREEMENT";"NEU"
"26811";"148796732401131520";"Rubalcaba";"AGREEMENT";"NEU"
"26812";"148796768635731968";;"AGREEMENT";"N"
"26813";"148796768635731968";"Rajoy";"AGREEMENT";"N"
"26814";"148798474480140288";;"DISAGREEMENT";"NEU"
"26815";"148798474480140288";"PP";"AGREEMENT";"P"
"26816";"148798474480140288";"PSOE";"AGREEMENT";"N"
"26817";"148799098613538817";;"AGREEMENT";"N+"
"26818";"148799098613538817";"Rajoy";"AGREEMENT";"N+"
"26819";"148799767722471424";;"AGREEMENT";"NONE"
"26820";"148800630515970049";;"AGREEMENT";"N+"
"26821";"148800630515970049";"@SalomeGa";"AGREEMENT";"N+"
"26822";"148801501769375744";;"AGREEMENT";"NEU"
"26823";"148801501769375744";"PP";"AGREEMENT";"P"
"26824";"148801809690013696";;"AGREEMENT";"N"
"26825";"148801809690013696";"Rajoy";"AGREEMENT";"N"
"26826";"148803618684944384";;"AGREEMENT";"N+"
"26827";"148803731327164416";;"DISAGREEMENT";"P"
"26828";"148803731327164416";"@iescolar";"AGREEMENT";"N"
"26829";"148803880023629827";;"AGREEMENT";"NONE"
"26830";"148804420572954624";;"AGREEMENT";"NONE"
"26831";"148806305853865984";;"AGREEMENT";"N"
"26832";"148806305853865984";"CIU";"AGREEMENT";"N"
"26833";"148808475848343552";;"AGREEMENT";"P+"
"26834";"148808475848343552";"CiU";"AGREEMENT";"P+"
"26835";"148808475848343552";"Durán";"AGREEMENT";"P+"
"26836";"148808475848343552";"Rajoy";"AGREEMENT";"P+"
"26837";"148809454085877760";;"AGREEMENT";"NONE"
"26838";"148810499327393793";;"AGREEMENT";"N"
"26839";"148810499327393793";"CiU";"AGREEMENT";"N"
"26840";"148810499327393793";"Durán";"AGREEMENT";"N"
"26841";"148810499327393793";"Rajoy";"AGREEMENT";"N"
"26842";"148813695273803777";;"AGREEMENT";"P+"
"26843";"148813695273803777";"Duran";"AGREEMENT";"P+"
"26844";"148813695273803777";"Cataluña";"AGREEMENT";"P+"
"26845";"148813695273803777";"España";"AGREEMENT";"P+"
"26846";"148815565786583040";;"AGREEMENT";"N+"
"26847";"148815565786583040";"España";"AGREEMENT";"N+"
"26848";"148815727380537344";;"AGREEMENT";"P+"
"26849";"148815727380537344";"PP";"AGREEMENT";"P+"
"26850";"148815727380537344";"Rajoy";"AGREEMENT";"P+"
"26851";"148815727380537344";"CiU";"AGREEMENT";"P+"
"26852";"148815727380537344";"Cataluña";"AGREEMENT";"P+"
"26853";"148817160066703360";;"AGREEMENT";"N"
"26854";"148830567138463744";;"AGREEMENT";"N+"
"26855";"148833404631261184";;"AGREEMENT";"NONE"
"26856";"148837481960312833";;"AGREEMENT";"NONE"
"26857";"148837927974211584";;"AGREEMENT";"NONE"
"26858";"148845000241856512";;"AGREEMENT";"P+"
"26859";"148845000241856512";"@fgarea";"AGREEMENT";"P+"
"26860";"148850301171011586";;"AGREEMENT";"P"
"26861";"148850301171011586";"Rosa_Díez";"AGREEMENT";"P+"
"26862";"148850301171011586";"Rajoy";"DISAGREEMENT";"NEU"
"26863";"148853951868059648";;"AGREEMENT";"P+"
"26864";"148855921110548481";;"AGREEMENT";"N"
"26865";"148855921110548481";"Rosa_Díez";"AGREEMENT";"N"
"26866";"148861009581449216";;"AGREEMENT";"P+"
"26867";"148864432028651521";;"AGREEMENT";"NONE"
"26868";"148872121777537024";;"AGREEMENT";"N"
"26869";"148872121777537024";"Rajoy";"AGREEMENT";"N"
"26870";"148872121777537024";"Rosa_Diez";"AGREEMENT";"N"
"26871";"148877943542775808";;"AGREEMENT";"P+"
"26872";"148877943542775808";"Rajoy";"AGREEMENT";"P+"
"26873";"148877943542775808";"España";"AGREEMENT";"P+"
"26874";"148886761886584832";;"AGREEMENT";"N+"
"26875";"148896312379719680";;"DISAGREEMENT";"N"
"26876";"148896312379719680";"Héctor_Núñez";"AGREEMENT";"N"
"26877";"148898862646562817";;"AGREEMENT";"NONE"
"26878";"148912268850118656";;"AGREEMENT";"NONE"
"26879";"148913896168767488";;"AGREEMENT";"P"
"26880";"148914788037177345";;"AGREEMENT";"P+"
"26881";"148914788037177345";"@lopolito";"AGREEMENT";"P+"
"26882";"148914788037177345";"@labalonso";"AGREEMENT";"P+"
"26883";"148957333014331393";;"AGREEMENT";"N"
"26884";"148960347989094401";;"AGREEMENT";"N"
"26885";"149005344197189632";;"AGREEMENT";"NONE"
"26886";"149005394210070528";;"AGREEMENT";"N"
"26887";"149005394210070528";"Rajoy";"AGREEMENT";"N"
"26888";"149006674068389888";;"DISAGREEMENT";"NEU"
"26889";"149033784145219584";;"AGREEMENT";"N"
"26890";"149037834823663616";;"AGREEMENT";"NONE"
"26891";"149037999705960448";;"AGREEMENT";"NONE"
"26892";"149039199339819008";;"AGREEMENT";"NONE"
"26893";"149041764718743553";;"AGREEMENT";"NONE"
"26894";"149042064447913984";;"DISAGREEMENT";"NEU"
"26895";"149042064447913984";"PNV";"AGREEMENT";"NEU"
"26896";"149042064447913984";"Erkoreka";"AGREEMENT";"NEU"
"26897";"149042064447913984";"ETA";"AGREEMENT";"N"
"26898";"149042079270572032";;"AGREEMENT";"N"
"26899";"149042079270572032";"Rajoy";"AGREEMENT";"N"
"26900";"149043823178301441";;"AGREEMENT";"NEU"
"26901";"149043823178301441";"Rajoy";"AGREEMENT";"NEU"
"26902";"149043823178301441";"Erkoreka";"AGREEMENT";"NEU"
"26903";"149044193950580737";;"AGREEMENT";"P"
"26904";"149044193950580737";"Jose_Erkoreka";"AGREEMENT";"P"
"26905";"149044322787012610";;"AGREEMENT";"NONE"
"26906";"149046899528314880";;"AGREEMENT";"NEU"
"26907";"149046899528314880";"@maria_rey";"AGREEMENT";"NEU"
"26908";"149047216617684992";;"AGREEMENT";"NONE"
"26909";"149048487118520320";;"DISAGREEMENT";"NEU"
"26910";"149048487118520320";"Cjo_Europ";"AGREEMENT";"N"
"26911";"149048487118520320";"Rajoy";"AGREEMENT";"P"
"26912";"149048883169869824";;"AGREEMENT";"P+"
"26913";"149048883169869824";"Rajoy";"AGREEMENT";"P+"
"26914";"149050073941164032";;"AGREEMENT";"P+"
"26915";"149050073941164032";"Rajoy";"AGREEMENT";"P"
"26916";"149051234324725760";;"AGREEMENT";"NONE"
"26917";"149051544669659136";;"AGREEMENT";"NONE"
"26918";"149054113315962880";;"AGREEMENT";"NEU"
"26919";"149054113315962880";"Rajoy";"AGREEMENT";"NEU"
"26920";"149054113315962880";"PNV";"AGREEMENT";"NEU"
"26921";"149054113315962880";"ETA";"AGREEMENT";"NEU"
"26922";"149055766781894656";;"AGREEMENT";"N+"
"26923";"149055945459249152";;"AGREEMENT";"P+"
"26924";"149055945459249152";"APP";"AGREEMENT";"P+"
"26925";"149057876462288896";;"AGREEMENT";"NEU"
"26926";"149057876462288896";"Ángel";"AGREEMENT";"NEU"
"26927";"149058913084518400";;"AGREEMENT";"NONE"
"26928";"149060612410982400";;"DISAGREEMENT";"NEU"
"26929";"149061207616266240";;"AGREEMENT";"N"
"26930";"149063008197419008";;"DISAGREEMENT";"NEU"
"26931";"149063008197419008";"Antiguedad";"DISAGREEMENT";"NEU"
"26932";"149063008197419008";"Batasuna";"DISAGREEMENT";"NEU"
"26933";"149063424167518208";;"AGREEMENT";"NONE"
"26934";"149066469911691264";;"AGREEMENT";"P"
"26935";"149066824057753600";;"AGREEMENT";"NONE"
"26936";"149068509392019456";;"AGREEMENT";"NONE"
"26937";"149072632401244160";;"AGREEMENT";"P+"
"26938";"149072632401244160";"UPN";"AGREEMENT";"P+"
"26939";"149074576565993472";;"AGREEMENT";"N"
"26940";"149074576565993472";"Rajoy";"AGREEMENT";"NEU"
"26941";"149074576565993472";"ETA";"AGREEMENT";"N"
"26942";"149075083837714434";;"AGREEMENT";"P+"
"26943";"149075083837714434";"PP";"AGREEMENT";"P+"
"26944";"149075083837714434";"Rajoy";"AGREEMENT";"P+"
"26945";"149075083837714434";"Antigüedad";"AGREEMENT";"N"
"26946";"149075837067591680";;"DISAGREEMENT";"NEU"
"26947";"149075837067591680";"Rajoy";"AGREEMENT";"P"
"26948";"149075837067591680";"Iñaki_Antigüedad";"AGREEMENT";"N"
"26949";"149076997241454592";;"DISAGREEMENT";"N"
"26950";"149076997241454592";"Rajoy";"AGREEMENT";"N"
"26951";"149076997241454592";"Amaiur";"AGREEMENT";"N"
"26952";"149077436380876800";;"AGREEMENT";"N"
"26953";"149077436380876800";"Pola_de_Lena";"AGREEMENT";"N"
"26954";"149077436380876800";"Asturias";"AGREEMENT";"N"
"26955";"149078727022755840";;"AGREEMENT";"NEU"
"26956";"149081430624968704";;"AGREEMENT";"N+"
"26957";"149081430624968704";"Rajoy";"AGREEMENT";"N+"
"26958";"149081430624968704";"CiU";"AGREEMENT";"N+"
"26959";"149082920185896960";;"AGREEMENT";"N"
"26960";"149082920185896960";"Rajoy";"AGREEMENT";"N"
"26961";"149082920185896960";"Antigüedad";"AGREEMENT";"N"
"26962";"149083490246332416";;"AGREEMENT";"N"
"26963";"149083490246332416";"Amaiur";"AGREEMENT";"N"
"26964";"149083614120919040";;"AGREEMENT";"N"
"26965";"149083614120919040";"Amaiur";"AGREEMENT";"N"
"26966";"149083614120919040";"Rajoy";"AGREEMENT";"N"
"26967";"149083614120919040";"Antigüedad";"AGREEMENT";"N"
"26968";"149087255833747456";;"AGREEMENT";"P"
"26969";"149087255833747456";"Amaiur";"AGREEMENT";"P"
"26970";"149087255833747456";"Rajoy";"AGREEMENT";"P"
"26971";"149087255833747456";"ETA";"AGREEMENT";"N"
"26972";"149088991944253440";;"AGREEMENT";"N"
"26973";"149088991944253440";"Rajoy";"AGREEMENT";"N"
"26974";"149093517313048577";;"DISAGREEMENT";"N"
"26975";"149093517313048577";"@AlfonsoAlonsoPP";"DISAGREEMENT";"N"
"26976";"149094659350740992";;"AGREEMENT";"NONE"
"26977";"149095234301730816";;"AGREEMENT";"N"
"26978";"149095234301730816";"ETA";"AGREEMENT";"N+"
"26979";"149095234301730816";"Alfonso_Alonso";"AGREEMENT";"N"
"26980";"149095360005013504";;"AGREEMENT";"N"
"26981";"149095360005013504";"Zapatero";"AGREEMENT";"N"
"26982";"149095623415697408";;"AGREEMENT";"P"
"26983";"149095623415697408";"PP";"AGREEMENT";"P"
"26984";"149095623415697408";"ETA";"AGREEMENT";"N+"
"26985";"149095623415697408";"Amaiur";"AGREEMENT";"P"
